State,Sector,Scheme,Sub-Scheme,IDi scheme sub-divisions,Benefit,Payment Details,Who is the beneficiary?,Basic Individual Information,,,,,,,,,,,Family Information                                                                    ,,,,,,,,,,,,Relevant Construction Worker/Unorganized Worker (Beneficiary Or Other Family member) Registered (in number of years),"Health Status of relevant family member. If no specific member is mentioned, the cell refers to own beneficiary's health status",Household Infrastructure Information,Fixed Asset Limit,(excl) Based on Household Infrastructure,(excl) Death/ Disability circumstances,(excl) Occupation in public or government sector,(excl) Already received/receiving benefit from a similar (but different) scheme,(excl) Already received benefit of the scheme,(excl) Other Criteria,Documentation Required,Other Comments
Chhattisgarh,Right to Livelihood,UoW,Safai Karamchar Out Patient Medical Assistance Scheme,B,"Medical assistance up to Rs. 2000 will be provided annually to the registered sweeper's family members for medical aid purchase.
Reimbursement of the certified bill by the doctor of the government hospital (for the same medicine which is not available in the government hospital) will be done.",,"Family members of registered UW (husband/wife, children up to 2) mentioned on the registration card",,,,,,,,,,,,,,,,,,,,,,Registered Safai Karamchari,,Registered > 0,,,,,,,,Received benefit for 2 children,,UoW Registration Card of UW,
Chhattisgarh,Right to Livelihood,UoW,Scholarship Scheme for Children of Safai Karamcharis,,Class wise annual scholarship will be given in lump sum to 02 sons/daughters of registered Safai Karamcharis studying from Rs.1000/- to Rs.15000/-.,,Children of Unorganized Worker,,,,,,,,,,,,>= 1,,,,,"Class 1 - Ph.D.
-or-
Colleges/Polytechnics
-or-
Mechanical/Medical Education",,,,,Registered Safai Karamcharis,,Registered > 0,,,,,,,If benefit has been availed from another parallel scheme,Received benefit for 2 children,,UoW Registration Card of UW,
Chhattisgarh,Right to Livelihood,UoW,Safai Karamchari Maternity Assistance Scheme,,"Maternity benefit of Rs.5,000/- will be payable to registered cleaning lady worker in the first trimester (in the third month) and Rs.5,000/- in the third trimester (in the eighth month).","10,000",Unorganized Worker,,Female,,,Safai Karamchari,,,,,,,,,,,,,,,,,,,Registered > 0,,,,,,Wife of Safai Karamchari working regularly in public and government institutions,,Received benefit for 2 deliveries,,UoW Registration Card,
Chhattisgarh,Right to Livelihood,UoW,Necessary Equipment Assistance Scheme for Safai Karamcharis,,"It has been decided to supply essential equipment, gumboots, gloves, masks and aprons up to Rs. 1000/- per annum to the registered beneficiary.",1000,Unorganized Worker,18 - 60,,,,Safai Karamchari,,,,,,,,,,,,,,,,,,,Registered > 0,,,,,,,If benefit has been availed from another parallel scheme,,,UoW Registration Card,
Chhattisgarh,Right to Livelihood,UoW,Safai Karamcharis Critical Illness Medical Assistance Scheme,,"Medical assistance of Rs 50,000/- for the treatment of kidney, cancer, sickling (sickle cell anemia), heart disease, AIDS and paralysis disease or the actual expenditure incurred in the treatment, whichever is less, will be provided to the registered sweeper.","Upto Rs 50,000",Unorganized Worker,18 - 60,,,,Safai Karamchari,,,,,,,,,,,,,,,,,,,Registered > 90 days,,,,,,,State is giving benefit from other parallel scheme(s),,,UoW Registration Card,
Chhattisgarh,Right to Livelihood,UoW,Contract Workers and Hamal Workers Out Patient Medical Assistance Scheme,,"Medical assistance up to Rs.2000 will be provided annually to the registered contract workers and hamal workers for medical assistance.
Certified bills by the doctor of the government hospital (for the same medicine which is not available in the government hospital) will be reimbursed.",Upto Rs 2000,Unorganized Worker,18 - 60,,,,"Contract Worker
-or-
Hamal Labor",,,,,,,,,,,,,,,,,,,Registered > 0,,,,,,,,,,"Certification bill by doctors from Government Hospital
-and-
UoW Registration Card",
Chhattisgarh,Right to Livelihood,UoW,"Boot for Hamal, Hook and Supa and Basket Assistance Scheme for Male Hamal",A,"Rs.500/- per beneficiary or the material will be provided
Boot/shoe and hook for registered unorganized male hamal workers ",Rs 500,Unorganized Worker,18 - 60,Male,,,Hamal Labor,,,,,,,,,,,,,,,,,,,Registered > 0,,,,,,,If benefit has been availed from another parallel scheme,,,UoW Registration Card,
Chhattisgarh,Right to Livelihood,UoW,"Boot for Hamal, Hook and Supa and Basket Assistance Scheme for Female Hamal",B,"Rs.500/- per beneficiary or the material will be provided
Supa and basket for registered unorganized female hamal workers ",Rs 500,Unorganized Worker,18 - 60,Female,,,Hamal Labor,,,,,,,,,,,,,,,,,,,Registered > 0,,,,,,,If benefit has been availed from another parallel scheme,,,UoW Registration Card,
Chhattisgarh,Right to Livelihood,UoW,"Contract Workers, Domestic Women Workers and Hamal Workers Maternity Assistance Scheme",,"A lump sum amount of Rs.10,000/- will be provided to registered contract workers, domestic women workers and hamal workers after delivery.","Rs 10,000",Unorganized Worker,,Female,,,"Contract Worker
-or-
Domestic Women Workers
-or-
Hamal Labor",,,,,,,,,,,,,,,,,,,Registered > 0,,,,,,,,Received benefit for 2 deliveries,,UoW Registration Card,
Chhattisgarh,Right to Livelihood,UoW,"Scholarship scheme for children of contract workers, domestic women workers and hamal workers",,"From Rs.500/- to Rs.5000/-, class wise annual scholarship will be given in lump sum to 02 sons/daughters of registered contract labor, domestic female worker and Hamal labor-",Rs 500 to Rs 5000,"Children of Contract Worker, Domestic Women Workers and Hamal Workers",,,,,,,,,,,,>= 1,,,,,Class 1 - Ph.D.,,,,,"Contract Worker
-or-
Domestic Women Workers
-or-
Hamal Workers",,Registered > 0,,,,,,,If benefit has been availed from another parallel scheme,Received benefit for 2 children,,UoW Registration Card of UW,
Chhattisgarh,Right to Livelihood,UoW,"Domestic Women Workers Cycle, Umbrella, Chappal/Shoe Assistance Scheme",,"Registered domestic female worker will be given the fixed rate from Gem for cycles and Rs.500/- per beneficiary for umbrella, slippers/shoes.",Rs 500,Unorganized worker,18 - 60,Female,,,Domestic Worker,,,,,,,,,,,,,,,,,,,Registered > 0,,,,,,,If benefit has been availed from another parallel scheme,,,UoW Registration Card,
Chhattisgarh,Right to Livelihood,UoW,"Domestic Women Workers Skill Upgradation and Contract Labor, Hamal and Domestic Women Workers Family Empowerment Scheme",A,"Under the scheme, from time to time, free training will be given to the domestic female labor registered by the Board for the business identified by the VTP registered with CSSDA and to the contract workers and family members of Hamal.",,"Women Domestic Worker
-or-
Contract Worker
-or-
Hamal Worker",>= 18,,,,"Women Domestic Worker
-or-
Contract Worker
-or-
Hamal Worker",,,,,,,,,,,,,,,,,,,Registered > 90 days,,,,,,,,,,UoW Registration Card,"VTP means Vocational Training
Providers. 
CSSDA means Chhattisgarh State Skill Development Authority"
